ID;Start Date;End Date;Display Date;Title;City;Venue;Type;Org. Body;# of Cat. Entries;# of Artists;Status
18;1905-03-24;1905-04-30;;21e Exposition de la Société des Artistes Indépendants;Paris;Serres de la Ville de Paris (Cours-la-Reine);group;Société des Artistes Indépendants;377;46;in progress
1003;1905-03-26;1905-04-28;;[VII. Jahrgang. VI. Ausstellung] [Collection Auguste Renoir];Berlin;Paul Cassirer;group;Paul Cassirer;0;0;pending
19;1905-04-00;1905-05-00;;Thirty-Fourth Exhibition of Modern Pictures. New English Art Club;Liverpool;Royal Institution;group;New English Art Club;167;50;proof read
1132;1905-04-00;1905-05-00;;XVI. výstava výtvarných umělců Manes v Praze;Prague;Pavilon v zahradě Kinských;group;Spolek výtvarných umělců Mánes;89;25;completed
20;1905-04-06;1905-04-29;;Exposition de Peintures, Pastels & Sculptures;Paris;Galerie B. Weill;group;Galerie B. Weill;61;7;proof read
22;1905-04-22;1905-10-31;;VI. Esposizione d'Arte della Città di Venezia;Venice;Giardini Pubblici;group;Città di Venezia;1257;396;completed
1004;1905-04-29;1905-06-00;;VII. Jahrgang. Frühjahr 1905. VII. Ausstellung. [Collectionen Vincent van Gogh, Félix Vallotton];Berlin;Paul Cassirer;group;Paul Cassirer;61;10;proof read
997;1905-05-00;;;Exposition des oeuvres de James McNeill Whistler;Paris;Palais de l'Ecole des Beaux-Arts;solo;Palais de l'Ecole des Beaux-Arts;193;1;proof read
984;1905-05-00;;;The Glasgow Society of Artists. Fourth Exhibition;London;Doré Gallery;group;"Doré Gallery; Glasgow Society of Artists";78;21;completed
23;1905-05-01;;;123e Exposition. Société des Artistes Francais/Exposition Annuelle des Beaux-Arts;Paris;Grand Palais des Champs Elysées;group;Société des Artistes Français;0;0;pending
3;1905-05-02;1905-10-06;;2. Deutsche Künstlerbund Ausstellung;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Deutscher Künstlerbund;216;121;proof read
24;1905-05-02;1905-05-23;;Exposition des Œuvres de M. Le Fauconnier et de M. Le Meilleur;Paris;Galerie de L'Indépendance Artistique;group;Galerie de L'Indépendance Artistique;50;2;completed
25;1905-05-12;1905-06-10;;Exposition de Peintures, Pastels par MM. Bouche (Georges),;Paris;Galerie B. Weill;group;Galerie B. Weill;43;6;proof read
1399;1905-05-14;;;"[Sonder-Präsentation Munchs in Hamburg 1905 bei der Kunsthandlung ""Commeter""]";Hamburg;Galerie Commeter;solo;Galerie Commeter;12;1;in progress
26;1905-05-14;1905-07-01;;15e Jaarlijksche Tentoonstelling van Kunstwerken;Amsterdam;Stedelijk Museum;group;Vereeniging in het Stedelijk Museum;406;208;completed
1005;1905-06-00;1905-09-00;06/1905 - end/09/1905;[VII. Jahrgang. VIII. Ausstellung] [Sommerausstellung];Berlin;Paul Cassirer;group;Paul Cassirer;0;0;pending
992;1905-06-01;1905-10-00;01/06/1905 - end/10/1905;IX. Internationale Kunstausstellung;Munich;Königlicher Glaspalast;group;"Münchener Künstlergenossenschaft; Verein bildender Künstler Münchens ""Secession""";2477;1216;proof read
1073;1905-06-09;1905-07-09;;Exposition Albert Besnard;Paris;Galeries Georges Petit;solo;Galerie Georges Petit;430;1;proof read
1245;1905-06-10;1905-06-30;;Umělecká výstava v Olomouci Spolku výtv. umělců „Manes“;Olomouc;Olomouc (exact location unknown);group;Spolek výtvarných umělců Mánes;133;20;completed
1105;1905-06-23;;;[Sommerausstellung. Moderne Wiener Künstler];Vienna;Galerie Miethke;group;Galerie Miethke;0;0;pending
1333;1905-07-00;1905-08-00;;[16. Ausstellung des Künstlerbundes Hagen];Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;0;0;pending
27;1905-07-00;1905-08-00;;Tentoonstelling van Schilderijen en Teekeningen door Vincent Van Gogh;Amsterdam;Stedelijk Museum;solo;Stedelijk Museum;447;4;completed
1247;1905-07-15;1905-08-28;;Gemeentelijke Tentoonstelling van Kunstwerken van Levende Meesters.;Arnhem;Musis Sacrum;group;Musis Sacrum;355;227;completed
1462;1905-08-05;1905-08-29;;Les Indépendants Cercle d'Art. Salon annuel;Brussels;Brussels (exact location unknown);group;Les Indépendants Cercle d'Art;210;21;completed
28;1905-09-00;;;Tentoonstelling van Schilderijen door Vincent Van Gogh;Utrecht;Utrecht (exact location unknown);solo;"Vereeniging ""Voor de Kunst""";59;1;completed
733;1905-09-03;1905-09-25;;Cercle Vrije Kunst. VIIe Exposition Annuelle;Brussels;Hedendaagsche Museum - Musée Moderne;group;Cercle Vrije Kunst;123;20;proof read
29;1905-10-00;1905-11-00;;Thirty-fifth Exhibition of Modern Pictures. New English Art Club;London;Galleries of the Alpine Club;group;New English Art Club;95;53;proof read
1434;1905-10-01;1905-10-31;;[Louis Paviot];Paris;Galerie B. Weill;solo;;0;0;pending
942;1905-10-01;1905-11-10;;[VIII. Jahrgang. I. Ausstellung. Kollektion Claude Monet];Berlin;Paul Cassirer;group;Paul Cassirer;66;9;proof read
1185;1905-10-07;1905-10-29;;Umělecká výstava S. V. U. „Manes“;Kladno;Kladno (exact location unknown);group;Volné sdružení přátel kulturních snah v Kladně;143;26;completed
30;1905-10-18;1905-11-25;;Salon d'Automne. 3e Exposition;Paris;Grand Palais des Champs Elysées;group;Société du Salon d'Automne;1790;452;in progress
1489;1905-10-19;1905-11-26;;Exhibition of Paintings of Contemporary French Artists;Chicago;The Art Institute of Chicago;group;"The Art Institute of Chicago; Trustees of the Art Institute of Chicago";0;0;pending
31;1905-10-21;1905-11-20;;Exposition de Peintures;Paris;Galerie B. Weill;group;Galerie B. Weill;76;23;proof read
32;1905-10-23;1905-11-11;;Kees van Dongen;Paris;Galerie Druet;solo;Galerie Druet;21;1;proof read
873;1905-10-25;1905-11-10;;Société des Peintres du Paris Moderne.Troisième Exposition;Paris;Galerie des Artistes Modernes;group;Société des Peintres du Paris Moderne;144;25;proof read
33;1905-10-28;1905-11-11;;Exposition de Tableaux par R. Seyssaud;Marseille;Hotel des Architectes;group;Hotel des Architectes;0;0;pending
1188;1905-11-00;1905-12-00;;[Moderne Münchner Maler];Vienna;Galerie Miethke;group;Galerie Miethke;0;0;pending
1079;1905-11-00;;;Fényes Adolf gyüjteményes kiállítása;Budapest;Nemzeti Szalon;solo;Nemzeti Szalon;99;1;proof read
1133;1905-11-00;1905-12-00;;XVII. výstava Sp. V. U. Manes v Praze. Dánské umění (Den Frie Udstilling);Prague;Pavilon v zahradě Kinských;group;Spolek výtvarných umělců Mánes;153;38;completed
34;1905-11-00;1905-12-00;;XXIV. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;249;55;proof read
35;1905-11-02;1906-01-01;;Tenth Annual Exhibition;Pittsburgh;Carnegie Institute;group;Carnegie Institute;287;228;completed
947;1905-11-12;1905-12-08;;[VIII. Jahrgang. II. Ausstellung. Kollektion Max Liebermann];Berlin;Paul Cassirer;group;Paul Cassirer;83;5;proof read
1334;1905-11-17;1906-01-07;;17. Ausstellung des Künstlerbundes Hagen;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;0;0;pending
1435;1905-11-23;1905-12-21;;[Charmy, Dufrenoy, Friesz, Girieud, Metzinger];Paris;Galerie B. Weill;solo;;0;0;pending
1250;1905-12-00;1905-12-00;;Kupkova výstava v Prostějově;Prostějov;Dvorana Dělnického domu;solo;Sdružení pokrokových lidí;109;1;completed
1134;1905-12-00;1906-01-00;;XVIII. výstava S. V. U. Manes v Praze. Fr. Šimon;Prague;Pavilon v zahradě Kinských;solo;Spolek výtvarných umělců Mánes;126;2;completed
1047;1905-12-03;1906-01-01;;Exhibition of Paintings by Contemporary French Artists;Cincinnati;Cincinnati Museum;group;"Cincinnati Museum; Trustees of the Art Institute of Chicago";36;21;proof read
948;1905-12-10;1905-12-28;;[VIII. Jahrgang. III. Ausstellung];Berlin;Paul Cassirer;group;Paul Cassirer;0;0;pending
949;1905-12-28;1906-01-16;;[VIII. Jahrgang. IV. Ausstellung];Berlin;Paul Cassirer;group;Paul Cassirer;0;0;pending
1436;1906-00-00;1906-05-10;;[watercolor show of Jean Biette organized by Matisse];Paris;Galerie B. Weill;solo;;0;0;pending
65;1906-00-00;1906-00-00;;Dritte Ausstellung des Deutschen Künstlerbundes;Weimar;Großherzogliches Museum für Kunst und Kunstgewerbe;group;Deutscher Künstlerbund;356;153;proof read
52;1906-00-00;1906-00-00;;Elfte Ausstellung der Berliner Secession;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Berliner Secession;350;129;proof read
1023;1906-00-00;;;Imp. Royal Austrian Exhibition;London;Earls Court;group;;328;130;proof read
795;1906-00-00;;;Munich Fine Art Exhibition;London;Grafton Galleries;group;Grafton Galleries;282;139;proof read
36;1906-00-00;;;XIII-я Выставка Картин Московского Товарищества Художников;Moscow;Исторический музей;group;;181;59;proof read
1189;1906-01-00;;;[Hugo von Habermann];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
1081;1906-01-00;;;Magyar-Mannheimer Gusztáv gyűjteményes kiállítása;Budapest;Nemzeti Szalon;solo;Nemzeti Szalon;203;1;proof read
37;1906-01-00;1906-01-30;;Vincent Van Gogh. Kollektiv-Ausstellung;Vienna;Galerie Miethke;solo;Galerie Miethke;45;1;proof read
1138;1906-01-00;1906-02-00;;XIX. výstava Spolku výtvarn. umělců Manes v Praze. Nikolaj Konstantinovič Roerich;Prague;Pavilon v zahradě Kinských;solo;Spolek výtvarných umělců Mánes;94;1;completed
1262;1906-01-00;1906-02-00;;XXV. Ausstellung der Vereinigung bildender Künstler Österreichs. Secession in Wien. Künstlervereinigung „Die Scholle“ München;Vienna;Gebäude der Secession;group;"Künstlervereinigung ""Die Scholle""; Vereinigung bildender Künstler Österreichs Secession";150;11;proof read
38;1906-01-12;1906-02-10;;Peintures & Aquarelles;Paris;Galerie B. Weill;group;Galerie B. Weill;70;10;proof read
950;1906-01-17;1906-02-18;;[VIII. Jahrgang. V. Ausstellung. Kollektiv-Ausstellung Gustave Courbet ✝];Berlin;Paul Cassirer;group;Paul Cassirer;71;3;proof read
1158;1906-01-20;1906-02-00;;Hagenbund. XVIII. Ausstellung sächsischer Künstler;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;170;22;proof read
39;1906-01-26;1906-02-28;;Tentoonstelling van Schilderijen en Teekeningen door Vincent Van Gogh;Rotterdam;Kunstzaal Oldenzeel;solo;Kunstzaal Oldenzeel;64;1;completed
40;1906-01-27;;;Выставка акварели, пастели, tempera, рисунков;Moscow;Moscow (exact location unknown);group;;288;78;proof read
1125;1906-02-00;;;Grünwald Iványi Béla gyüjteményes kiállítása;Budapest;Nemzeti Szalon;solo;Nemzeti Szalon;82;1;proof read
41;1906-02-00;;;Kollektiv-Ausstellungen Eugen Spiro und Alfred Kubin;Vienna;Galerie Miethke;group;Galerie Miethke;55;2;proof read
42;1906-02-00;;;Художественная выставка „Мир Искусства“;Saint Petersburg;Екатериниский зал;group;;339;32;proof read
1398;1906-02-11;1906-02-25;;[Munchs Sonderausstellung 1906 in Dresden in Kunstverein];Dresden;Ausstellungsgebäude des Sächsischen Kunstvereins;group;"Galerie Commeter; Sächsischer Kunstverein";20;1;in progress
44;1906-02-14;1906-03-03;;"Deuxième Exposition d'Ensembles des ""Intimistes""";Paris;Galeries Henry Graves and Co Ltd.;group;Galeries Henry Graves and Co Ltd.;0;0;pending
43;1906-02-17;1906-04-15;;Internationale Kunstausstellung Bremen;Bremen;Kunsthalle Bremen;group;;840;235;proof read
952;1906-02-20;1906-03-14;;[VIII. Jahrgang. VI. Ausstellung. Kollektionen von Lovis Corinth];Berlin;Paul Cassirer;group;Paul Cassirer;52;11;proof read
46;1906-02-22;1906-03-25;;La Libre Esthétique. La treizième Exposition;Brussels;Brussels (exact location unknown);group;La Libre Esthétique;263;27;proof read
47;1906-02-28;1906-03-15;;Exposition Odilon Redon;Paris;Galeries Durand-Ruel;solo;Galeries Durand-Ruel;53;1;proof read
1034;1906-03-00;;;"Frühjahr-Ausstellung des Vereins bildender Künstler Münchens ""Sezession""";Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;"Verein bildender Künstler Münchens ""Secession""";330;104;completed
1084;1906-03-00;;;Vaszary János művei;Budapest;Nemzeti Szalon;solo;Nemzeti Szalon;156;1;proof read
48;1906-03-00;1906-05-00;;XXVI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;391;72;proof read
1086;1906-03-01;1906-03-17;;Exposition de 24 Tableaux et Aquarelles par MANET;Paris;Galeries Durand-Ruel;solo;Galeries Durand-Ruel;24;1;proof read
49;1906-03-14;1906-04-22;;Exposition d'Art Français;Basel;Kunsthalle Bâle;group;Société des Beaux Arts de Bâle;584;101;proof read
1386;1906-03-15;1906-03-29;;Alcide le Beau;Paris;Galerie A. Vollard;solo;Galerie A. Vollard;43;1;completed
953;1906-03-16;1906-06-00;16/03/1906 - mid/06/1906;[VIII. Jahrgang. VII. Ausstellung. Französische Meister];Berlin;Paul Cassirer;group;Paul Cassirer;38;12;proof read
1122;1906-03-16;1906-06-00;;Hagenbund. Neunzehnte Ausstellung;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;183;38;proof read
1091;1906-03-17;1906-04-07;;Oeuvres de M. Henri Brugnot;Paris;Galerie des Artistes Modernes;solo;Galerie des Artistes Modernes;27;1;proof read
1089;1906-03-19;1906-03-31;;Exposition de 17 Tableaux de Claude Monet;Paris;Galeries Durand-Ruel;solo;Galeries Durand-Ruel;17;1;proof read
50;1906-03-19;1906-04-07;;Exposition Henri-Matisse;Paris;Galerie Druet;solo;Galerie Druet;59;1;completed
51;1906-03-20;1906-04-30;;Société des Artistes Indépendants, 22e Exposition;Paris;Serres de la Ville de Paris (Cours-la-Reine);group;Société des Artistes Indépendants;0;0;pending
54;1906-03-26;1906-04-04;;Exposition d'Œuvres de René Seyssaud;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;31;1;proof read
1007;1906-04-00;;;Garden, Field and Wayside. Mr. & Mrs. Harry Hine;London;Stafford Gallery;group;Stafford Gallery;45;2;proof read
53;1906-04-01;1906-05-15;;Tavaszi kiállítás;Budapest;Műcsarnok;group;Országos Magyar Képzőművészeti Társulat;555;160;proof read
1139;1906-04-08;1906-06-17;;Dvacátá výstava S. V. U. Manes v Praze;Prague;Pavilon v zahradě Kinských;group;Spolek výtvarných umělců Mánes;66;18;completed
55;1906-04-15;1906-05-17;;Kupkova výstava v Praze;Prague;Eliščina Třída 6;solo;"Společenský klub ""Slavia""";132;1;proof read
56;1906-04-15;1906-06-30;;Société Nationale des Beaux-Arts: XVIe Exposition;Paris;Grand Palais des Champs Elysées;group;;756;0;in progress
58;1906-05-00;1906-11-00;;"Deutsche Kunstausstellung in der ""Flora""";Cologne;Ausstellungsgelände Botanischer Garten Flora;group;"Kölner Verein zur Förderung der Ausstellung [""Flora""]; Verband der Kunstfreunde in den Ländern am Rhein";1140;272;completed
1111;1906-05-00;1906-06-00;;Nikolai Konstantinowitsch Roerich. Kollektivausstellung;Vienna;Galerie Miethke;solo;Galerie Miethke;64;1;proof read
57;1906-05-00;1906-10-00;;Sächsische Kunstausstellung;Dresden;Ausstellungsgebäude auf der Brühlesche Terrasse;group;;432;128;proof read
59;1906-05-01;1906-05-01;;Société des Artistes Francais: 124e Exposition / Exposition annuelle des Beaux-Arts;Paris;Grand Palais des Champs Elysées;group;Société des Artistes Français;0;0;pending
60;1906-05-04;1906-05-17;;Exposition Félix Vallotton;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;44;1;proof read
1090;1906-05-17;1906-06-16;;Exposition Anders Zorn;Paris;Galeries Durand-Ruel;solo;Galeries Durand-Ruel;162;1;proof read
62;1906-05-24;1906-06-17;;Tentoonstelling van Schilder- en Teekenwerk van Kees van Dongen;Rotterdam;Rotterdamsche Kunstkring;solo;Rotterdamsche Kunstkring;73;1;proof read
1095;1906-05-29;1906-05-30;;Vente Aux Enchères Publiques Des Tableaux, Études, Aquarelles, Pastels, Dessins, Eaux-Fortes, Gravures, Sculpture, Objets D'Art;Paris;Hôtel Drouot;auction;Hôtel Drouot;229;150;proof read
1340;1906-06-00;;summer/1906;[Sommerausstellung. Moderne und alte Meister];Vienna;Galerie Miethke;group;Galerie Miethke;0;0;pending
63;1906-06-00;;;"Internationale Kunst-Ausstellung des Vereins bildender Künstler Münchens (E.V.) ""Secession""";Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;"Verein bildender Künstler Münchens ""Secession""";281;98;proof read
64;1906-06-00;1906-07-00;;Thirty-Sixth Exhibition of Modern Pictures. New English Art Club;London;Galleries in Dering Yard;group;New English Art Club;131;64;proof read
1463;1906-07-01;1906-11-00;;Mostra Nazionale di Belle Arti;Milan;Esposizione internazionale di Milano (1906);group;;2304;705;completed
1390;1906-09-00;;;"[Einige Gemälde 1906 in Weimar im Hotel ""Kaiserin Augusta""]";Weimar;"Hotel ""Kaiserin Augusta""";solo;;5;1;in progress
954;1906-09-22;1906-10-28;;[IX. Jahrgang. I. Ausstellung. Manet-Monet-Ausstellung];Berlin;Paul Cassirer;group;Paul Cassirer;51;4;proof read
1191;1906-10-00;1906-11-00;;[Hermine Heller-Obersetzer u.a. Wiener Künstler];Vienna;Galerie Miethke;group;Galerie Miethke;0;0;pending
67;1906-10-00;1906-11-00;;Kunstausstellung Wertheim;Berlin;Galerie Wertheim;group;Galerie Wertheim;79;17;completed
1190;1906-10-04;;;[Henri de Groux];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
767;1906-10-05;1906-11-00;;Hagenbund. Zwanzigste Ausstellung. Constantin Meunier;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;solo;Künstlerbund Hagen / Hagenbund;155;1;proof read
68;1906-10-06;1906-11-15;;Salon d'Automne. 4e Exposition;Paris;Grand Palais des Champs Elysées;group;Société du Salon d'Automne;1931;421;in progress
1437;1906-10-09;1906-10-31;;[Dufy];Paris;Galerie B. Weill;solo;;0;0;pending
69;1906-10-25;1906-11-08;;Exposition K.-X. Roussel;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;108;1;proof read
1192;1906-10-31;1906-11-00;;[Josef Berres de Perez];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
70;1906-11-00;1906-12-00;;Thirty-Seventh Exhibition of Modern Pictures. New English Art Club;London;Galleries in Dering Yard;group;New English Art Club;144;64;proof read
71;1906-11-00;1906-12-00;;XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;319;49;proof read
955;1906-11-01;1906-12-02;;[IX. Jahrgang. II. Ausstellung. Kollektionen Max Liebermann und Walter Leistikow];Berlin;Paul Cassirer;group;Paul Cassirer;52;24;proof read
72;1906-11-09;1906-11-20;;Exposition Bonnard;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;41;1;proof read
73;1906-11-11;;;Ausstellung von Werken von Edvard Munch in Kösen;Weimar;Großherzogliches Museum für Kunst und Kunstgewerbe;solo;Großherzogliches Museum für Kunst und Kunstgewerbe;29;1;completed
77;1906-11-14;1907-00-00;;Téli nemzetközi kiállítás;Budapest;Műcsarnok;group;Országos Magyar Képzőművészeti Társulat;876;244;proof read
74;1906-11-15;;;Russische Kunstausstellung 1906;Berlin;Eduard Schulte, Kunsthandlung;group;Eduard Schulte, Kunsthandlung;536;91;proof read
1141;1906-11-17;1907-01-20;;XXI. výstava Spolku výtvarných umělců Manes v Praze;Prague;Pavilon v zahradě Kinských;group;Spolek výtvarných umělců Mánes;111;21;completed
1193;1906-11-25;1907-01-00;;[Carl Larsson];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
1194;1906-12-00;;;[Die Jungen];Vienna;Galerie Miethke;group;Galerie Miethke;0;0;pending
75;1906-12-00;;;Zwölfte Kunstausstellung der Berliner Secession. Zeichnende Künste;Berlin;Paul Cassirer;group;Berliner Secession;289;55;proof read
76;1906-12-04;1906-12-30;;Exposition de Peintures;Paris;Galerie B. Weill;group;Galerie B. Weill;45;9;proof read
956;1906-12-07;1906-12-30;;[IX. Jahrgang. III. Ausstellung. Schwarz-Weiss Ausstellung der Berliner Secession];Berlin;Paul Cassirer;group;"Paul Cassirer; Berliner Secession";297;56;completed
1127;1906-12-07;1907-01-20;;Hagenbund XXI. Ausstellung;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;198;49;proof read
79;1906-12-22;1907-01-20;;Tentoonstelling van Ontwerpen voor Muurschildering Voorwerpen van Kunstnijverheid;Rotterdam;Rotterdamsche Kunstkring;group;Rotterdamsche Kunstkring;50;1;completed
1038;1906-12-28;1907-02-03;;"Winter-Ausstellung des Vereins bildender Künstler ""Secession""";Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;"Verein bildender Künstler Münchens ""Secession""";174;3;proof read
1438;1907-00-00;1907-04-15;;[Matisse, Marquet, Derain, Friesz, Dufy, Vlaminck, Camoin, Vallotton];Paris;Galerie B. Weill;group;;0;0;pending
1231;1907-00-00;;;Collection Moreau (Tableaux, Dessins, Aquarelles et Pastels);Paris;Palais du Louvre - Pavillon de Marsan;group;Musée des Arts Décoratifs;197;33;proof read
96;1907-00-00;;;Dreizehnte Ausstellung der Berliner Secession;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Berliner Secession;310;106;proof read
1464;1907-00-00;;;Exhibition of Pictures & Sketches by Robert Brough A.R.S.A.;London;Burlington Fine Arts Club;solo;Burlington Fine Arts Club;89;1;completed
1020;1907-00-00;;;Exhibition of Pictures, &c. by Well-Known Austrian Artists;London;The Gallery of Austrian Arts and Crafts;group;;78;30;completed
837;1907-00-00;;;Exposition des dessins & pastels de Pierre Prins;Paris;Galeries Georges Petit;solo;Galeries Georges Petit;70;1;proof read
1487;1907-00-00;;;Union Internationale des Beaux-Arts et des Lettres. Deuxième Congrès. Le musée du Peuple;Angers;Angers, Centre d'Art;group;Angers, Centre d'Art;1290;200;completed
81;1907-00-00;;;Výstava 8 Kunst-Ausstellung;Prague;Prague (exact location unknown);group;Osma;65;7;proof read
80;1907-00-00;;;XIV Выставка Картин Московского Товарищества Художников;Moscow;Moscow (exact location unknown);group;Московское Товарищество Художников;232;64;proof read
